,total_utility_bill,commission,sex,age,car,marital_status,child,citizenthip
0,47.06,8.93,1,1,0,0,2,3
1,38.78,9.52,1,0,1,0,3,3
2,38.64,6.53,1,0,0,1,2,0
3,47.87,3.12,1,0,1,1,2,1
4,30.66,7.58,0,1,0,0,1,1
5,42.85,4.28,1,1,1,0,2,1
6,25.42,3.87,0,0,0,1,0,2
7,13.31,4.55,0,1,0,0,1,3
8,18.33,3.14,1,1,0,1,2,3
9,9.34,9.13,0,1,1,0,3,2
10,45.67,6.94,0,1,0,0,3,2
11,15.44,5.75,0,1,0,1,0,1
12,37.47,3.86,1,1,0,1,3,1
13,27.75,3.87,1,1,0,0,0,0
14,16.22,9.18,1,0,1,0,1,1
15,14.45,2.61,1,0,1,1,0,1
16,12.7,6.66,1,0,1,0,2,2
17,12.26,3.77,1,0,1,1,2,2
18,30.65,1.8,0,1,1,0,0,2
19,44.43,7.04,0,0,1,0,2,0
20,14.05,7.34,0,1,1,1,1,1
21,36.43,9.09,1,0,1,1,3,2
22,28.43,8.31,0,1,1,0,1,0
23,35.67,7.01,1,0,0,1,0,1
24,30.72,1.18,1,0,0,1,2,2
25,28.83,9.84,0,1,1,1,0,0
26,9.31,7.77,1,0,0,1,1,3
27,5.26,1.43,0,1,1,1,0,1
28,20.47,9.3,0,1,1,1,1,2
29,33.59,1.92,0,1,1,1,0,3
30,41.73,1.12,1,1,1,0,1,3
31,48.88,6.67,1,0,0,1,1,2
32,45.5,1.2,0,0,0,0,3,1
33,30.53,8.48,1,0,0,0,1,2
34,6.3,3.77,1,0,0,0,1,1
35,4.31,5.48,0,1,0,0,2,1
36,21.32,6.88,0,0,0,0,2,3
37,3.96,2.63,1,1,1,0,2,0
38,24.61,6.37,1,0,0,1,0,3
39,4.51,5.74,1,1,0,1,0,0
40,30.04,8.99,0,0,0,0,2,0
41,47.93,4.96,1,1,1,1,0,2
42,3.43,5.21,1,1,0,1,0,1
43,45.01,1.2,0,0,1,0,1,2
44,28.32,2.33,1,0,0,0,3,1
45,30.03,2.58,0,0,1,1,0,2
46,18.73,3.56,0,0,0,0,3,1
47,11.93,9.74,1,1,1,0,2,1
48,13.96,7.08,0,1,0,0,2,0
49,37.92,3.85,1,0,0,0,1,0
